Date,Open,High,Low,Close,Adj Close,Volume
2021-08-18,2.860000,2.970000,2.708000,2.800000,2.800000,50600
2021-08-19,2.800000,2.800000,2.500000,2.540000,2.540000,52000
2021-08-20,2.740000,2.740000,2.600000,2.680000,2.680000,12200
2021-08-23,2.780000,3.037000,2.780000,2.970000,2.970000,23300
2021-08-24,2.990000,2.990000,2.811000,2.910000,2.910000,5600
2021-08-25,2.950000,3.150000,2.850000,2.980000,2.980000,37500
2021-08-26,3.130000,3.130000,2.870000,2.870000,2.870000,23700
2021-08-27,2.940000,3.000000,2.905000,2.980000,2.980000,11800
2021-08-30,2.980000,3.120000,2.850000,2.850000,2.850000,10000
2021-08-31,2.940000,2.940000,2.760000,2.820000,2.820000,9400
2021-09-01,2.800000,2.850000,2.670000,2.750000,2.750000,41300
2021-09-02,2.820000,2.820000,2.697000,2.810000,2.810000,6800
2021-09-03,2.830000,2.900000,2.750000,2.850000,2.850000,30300
2021-09-07,2.870000,3.000000,2.850000,3.000000,3.000000,16000
2021-09-08,3.000000,3.000000,2.817000,2.850000,2.850000,9300
2021-09-09,2.850000,3.000000,2.850000,2.860000,2.860000,14400
2021-09-10,3.000000,3.000000,2.790000,2.825000,2.825000,14400
2021-09-13,3.000000,3.000000,2.788000,2.800000,2.800000,15700
2021-09-14,2.788000,2.900000,2.720000,2.880000,2.880000,53100
2021-09-15,2.730000,2.860000,2.727000,2.790000,2.790000,10100
2021-09-16,2.750000,2.750000,2.625000,2.680000,2.680000,30800
2021-09-17,2.680000,2.750000,2.600000,2.720000,2.720000,24400
2021-09-20,2.590000,2.710000,2.550000,2.590000,2.590000,26100
2021-09-21,2.635000,2.750000,2.560000,2.710000,2.710000,42800
2021-09-22,2.544000,2.700000,2.544000,2.610000,2.610000,11600
2021-09-23,2.630000,2.705000,2.550000,2.590000,2.590000,14800
2021-09-24,2.580000,2.797000,2.500000,2.650000,2.650000,13900
2021-09-27,2.680000,2.700000,2.535000,2.540000,2.540000,21700
2021-09-28,2.690000,2.690000,2.470000,2.470000,2.470000,39600
2021-09-29,2.400000,2.490000,2.320000,2.420000,2.420000,14300
2021-09-30,2.415000,2.700000,2.300000,2.609000,2.609000,39200
2021-10-01,2.350000,2.660000,2.350000,2.610000,2.610000,12000
2021-10-04,2.520000,2.670000,2.520000,2.630000,2.630000,21400
2021-10-05,2.650000,2.810000,2.650000,2.700000,2.700000,33300
2021-10-06,2.620000,2.800000,2.620000,2.659000,2.659000,10200
2021-10-07,2.686000,2.750000,2.600000,2.620000,2.620000,15100
2021-10-08,2.520000,2.770000,2.520000,2.670000,2.670000,17200
2021-10-11,2.800000,2.800000,2.290000,2.300000,2.300000,44700
2021-10-12,2.580000,2.580000,2.368000,2.400000,2.400000,37200
2021-10-13,2.539000,2.539000,2.370000,2.400000,2.400000,16800
2021-10-14,2.390000,2.390000,2.300000,2.390000,2.390000,12100
2021-10-15,2.390000,2.400000,2.280000,2.340000,2.340000,17800
2021-10-18,2.750000,2.750000,2.465000,2.490000,2.490000,22600
2021-10-19,2.520000,2.527000,2.390000,2.431000,2.431000,17900
2021-10-20,2.400000,2.528000,2.400000,2.460000,2.460000,9900
2021-10-21,2.470000,2.470000,2.370000,2.440000,2.440000,17100
2021-10-22,2.370000,2.475000,2.300000,2.360000,2.360000,16300
2021-10-25,2.660000,2.660000,2.350000,2.350000,2.350000,21800
2021-10-26,2.450000,2.990000,2.305000,2.690000,2.690000,349900
2021-10-27,2.750000,2.750000,2.480000,2.550000,2.550000,38600
2021-10-28,2.530000,2.600000,2.420000,2.450000,2.450000,28000
2021-10-29,2.410000,2.590000,2.380000,2.390000,2.390000,29100
2021-11-01,2.450000,2.590000,2.410000,2.490000,2.490000,15800
2021-11-02,2.530000,2.600000,2.380000,2.450000,2.450000,20700
2021-11-03,2.500000,2.505000,2.380000,2.460000,2.460000,18900
2021-11-04,2.460000,2.460000,2.340000,2.410000,2.410000,18800
2021-11-05,2.400000,2.520000,2.390000,2.420000,2.420000,10000
2021-11-08,2.430000,2.500000,2.430000,2.460000,2.460000,18100
2021-11-09,2.450000,2.500000,2.400000,2.420000,2.420000,24200
2021-11-10,2.400000,2.450000,2.350000,2.390000,2.390000,18600
2021-11-11,2.390000,2.390000,2.300000,2.350000,2.350000,75200
2021-11-12,2.330000,2.390000,2.280000,2.300000,2.300000,44500
2021-11-15,2.340000,2.370000,2.200000,2.280000,2.280000,28900
2021-11-16,2.230000,2.280000,2.150000,2.220000,2.220000,31600
2021-11-17,2.270000,2.280000,2.200000,2.220000,2.220000,21300
2021-11-18,2.280000,2.280000,2.050000,2.060000,2.060000,25300
2021-11-19,2.060000,2.060000,2.010000,2.030000,2.030000,20100
2021-11-22,2.082000,3.380000,1.970000,2.110000,2.110000,19378100
2021-11-23,1.834000,2.430000,1.834000,2.420000,2.420000,918900
2021-11-24,2.260000,2.650000,2.150000,2.590000,2.590000,409700
2021-11-26,2.380000,2.525000,2.330000,2.360000,2.360000,78700
2021-11-29,2.380000,2.480000,2.140000,2.230000,2.230000,133600
2021-11-30,2.170000,2.260000,1.990000,2.110000,2.110000,202900
2021-12-01,2.100000,2.180000,2.000000,2.030000,2.030000,66700
2021-12-02,2.030000,2.150000,1.950000,1.950000,1.950000,68800
2021-12-03,2.010000,2.100000,1.860000,2.040000,2.040000,51100
2021-12-06,1.970000,2.032000,1.850000,1.930000,1.930000,38600
2021-12-07,1.990000,2.040000,1.930000,1.970000,1.970000,34500
2021-12-08,1.970000,2.060000,1.930000,2.000000,2.000000,91700
2021-12-09,2.020000,2.100000,1.920000,2.080000,2.080000,109700
2021-12-10,2.190000,2.240000,2.060000,2.080000,2.080000,74700
2021-12-13,2.100000,2.920000,2.090000,2.550000,2.550000,5069700
2021-12-14,2.460000,3.190000,2.260000,2.830000,2.830000,2412000
2021-12-15,2.899000,3.380000,2.540000,2.720000,2.720000,3992900
2021-12-16,2.820000,3.040000,2.480000,2.980000,2.980000,780700
2021-12-17,2.900000,3.070000,2.720000,2.880000,2.880000,327400
2021-12-20,2.810000,3.120000,2.560000,3.050000,3.050000,728200
2021-12-21,7.510000,8.250000,5.100000,5.450000,5.450000,75525500
2021-12-22,4.810000,5.230000,4.050000,4.840000,4.840000,5910300
2021-12-23,4.610000,4.620000,4.130000,4.320000,4.320000,1945300
2021-12-27,4.180000,5.920000,4.170000,5.310000,5.310000,10183300
2021-12-28,7.160000,7.350000,5.680000,6.020000,6.020000,46210200
2021-12-29,5.860000,6.700000,5.270000,6.250000,6.250000,7328100
2021-12-30,7.520000,7.730000,6.370000,6.570000,6.570000,23627300
2021-12-31,6.310000,6.980000,6.010000,6.440000,6.440000,3526900
2022-01-03,6.510000,9.550000,6.300000,7.580000,7.580000,25503800
2022-01-04,6.990000,10.090000,6.810000,9.320000,9.320000,52124800
2022-01-05,8.440000,10.490000,8.130000,8.900000,8.900000,24179700
2022-01-06,8.968000,9.560000,6.500000,6.750000,6.750000,6626100
2022-01-07,6.790000,7.390000,5.680000,6.100000,6.100000,4031500
2022-01-10,6.471000,8.350000,6.450000,7.860000,7.860000,14804100
2022-01-11,8.027000,8.630000,7.590000,8.060000,8.060000,8423600
2022-01-12,7.940000,8.570000,7.390000,8.090000,8.090000,5826400
2022-01-13,8.020000,8.190000,7.200000,7.930000,7.930000,3918000
2022-01-14,7.550000,9.340000,7.310000,8.960000,8.960000,10148200
2022-01-18,8.230000,9.890000,7.500000,7.630000,7.630000,10083500
2022-01-19,7.900000,8.800000,7.650000,8.000000,8.000000,6165200
2022-01-20,7.950000,8.500000,6.950000,7.100000,7.100000,3903600
2022-01-21,7.150000,7.360000,6.321000,6.710000,6.710000,3028500
2022-01-24,6.270000,6.280000,5.364000,5.940000,5.940000,1358300
2022-01-25,5.680000,7.290000,5.220000,5.890000,5.890000,8407600
2022-01-26,5.900000,6.200000,5.220000,5.230000,5.230000,1968000
2022-01-27,5.320000,5.850000,5.081000,5.170000,5.170000,1240500
2022-01-28,5.160000,5.590000,4.930000,5.000000,5.000000,1967400
2022-01-31,4.820000,5.570000,4.720000,5.370000,5.370000,1511700
2022-02-01,5.200000,5.540000,5.030000,5.100000,5.100000,1329700
2022-02-02,5.100000,5.300000,5.040000,5.200000,5.200000,717700
2022-02-03,5.080000,5.320000,4.940000,5.190000,5.190000,1147700
2022-02-04,5.070000,5.260000,4.450000,4.510000,4.510000,1287900
2022-02-07,4.490000,4.632000,3.815000,3.910000,3.910000,881400
2022-02-08,3.910000,4.150000,3.700000,3.850000,3.850000,724700
2022-02-09,3.950000,4.730000,3.950000,4.560000,4.560000,761900
2022-02-10,4.330000,5.580000,4.330000,5.080000,5.080000,1847800
2022-02-11,5.030000,6.190000,5.030000,5.850000,5.850000,2655300
2022-02-14,5.850000,6.920000,5.850000,6.370000,6.370000,3031600
2022-02-15,6.390000,6.840000,6.210000,6.670000,6.670000,1472100
2022-02-16,6.640000,6.900000,6.410000,6.830000,6.830000,507600
2022-02-17,6.800000,6.800000,5.930000,6.200000,6.200000,612000
2022-02-18,6.150000,6.270000,5.600000,5.960000,5.960000,339100
2022-02-22,5.700000,5.830000,5.250000,5.600000,5.600000,321300
2022-02-23,5.600000,5.710000,5.250000,5.590000,5.590000,170200
2022-02-24,5.260000,5.970000,5.100000,5.950000,5.950000,355900
2022-02-25,5.910000,6.120000,5.800000,6.040000,6.040000,145200
2022-02-28,6.140000,6.630000,6.091000,6.550000,6.550000,282900
2022-03-01,6.590000,6.700000,6.050000,6.670000,6.670000,189300
2022-03-02,6.780000,7.250000,6.654000,7.010000,7.010000,471200
2022-03-03,7.100000,7.130000,6.530000,6.600000,6.600000,171600
2022-03-04,6.480000,6.660000,6.060000,6.210000,6.210000,160300
2022-03-07,6.130000,6.210000,5.250000,5.300000,5.300000,355600
2022-03-08,5.400000,5.770000,4.870000,5.350000,5.350000,372600
2022-03-09,5.470000,5.990000,5.400000,5.650000,5.650000,178100
2022-03-10,5.640000,6.460000,5.640000,6.250000,6.250000,750300
2022-03-11,6.150000,6.230000,5.650000,5.650000,5.650000,175300
2022-03-14,5.650000,5.750000,5.170000,5.180000,5.180000,133000
2022-03-15,5.250000,5.630000,5.250000,5.500000,5.500000,104000
2022-03-16,5.570000,6.000000,5.200000,5.360000,5.360000,257300
2022-03-17,5.300000,6.180000,5.300000,6.010000,6.010000,289100
2022-03-18,6.000000,6.070000,5.660000,5.800000,5.800000,242800
2022-03-21,5.880000,6.100000,5.629000,5.700000,5.700000,248000
2022-03-22,5.610000,5.952000,5.610000,5.670000,5.670000,235900
2022-03-23,5.670000,6.240000,5.200000,5.360000,5.360000,1015400
2022-03-24,5.360000,5.500000,5.170000,5.230000,5.230000,181800
2022-03-25,5.200000,5.290000,4.690000,4.730000,4.730000,370500
2022-03-28,4.730000,4.930000,4.520000,4.620000,4.620000,299800
2022-03-29,4.550000,5.100000,4.550000,4.670000,4.670000,857200
2022-03-30,4.560000,4.690000,4.200000,4.350000,4.350000,277800
2022-03-31,4.300000,4.630000,4.130000,4.310000,4.310000,463200
2022-04-01,4.280000,4.440000,3.910000,4.060000,4.060000,1261700
2022-04-04,4.080000,4.136000,3.820000,4.080000,4.080000,395400
2022-04-05,4.060000,4.190000,3.960000,4.050000,4.050000,171600
2022-04-06,4.030000,4.340000,4.020000,4.050000,4.050000,237700
2022-04-07,4.080000,4.150000,3.510000,3.610000,3.610000,446300
2022-04-08,3.810000,3.810000,3.440000,3.460000,3.460000,239800
2022-04-11,3.590000,3.950000,3.400000,3.750000,3.750000,326500
2022-04-12,3.780000,3.780000,3.250000,3.280000,3.280000,282800
