"DATE ","EXPIRY DATE ","OPTION TYPE ","STRIKE PRICE ","OPEN PRICE ","HIGH PRICE ","LOW PRICE ","CLOSE PRICE ","LAST PRICE ","SETTLE PRICE ","Volume ","VALUE ","PREMIUM VALUE ","OPEN INTEREST ","CHANGE IN OI "
"27-Jan-2022","27-Jan-2022","XX","-","3,734.85","3,734.90","3,622.35","3,648.90","3,649.20","3,649.30","4643850","17,021,367,832.50","17,021,367,832.50","1885650","-1452750.00"
"25-Jan-2022","27-Jan-2022","XX","-","3,749.25","3,807.70","3,716.85","3,772.15","3,767.00","3,772.15","3894450","14,668,560,862.50","14,668,560,862.50","3338400","-2020350.00"
"24-Jan-2022","27-Jan-2022","XX","-","3,839.95","3,845.00","3,735.50","3,767.50","3,765.00","3,767.50","4210350","15,927,584,925.00","15,927,584,925.00","5358750","-1524900.00"
"21-Jan-2022","27-Jan-2022","XX","-","3,820.00","3,849.90","3,775.80","3,832.05","3,836.05","3,832.05","3983400","15,223,342,395.00","15,223,342,395.00","6883650","-834000.00"
"20-Jan-2022","27-Jan-2022","XX","-","3,925.00","3,925.00","3,825.15","3,841.35","3,843.05","3,841.35","3711750","14,346,193,245.00","14,346,193,245.00","7717650","-751200.00"
"19-Jan-2022","27-Jan-2022","XX","-","4,000.00","4,009.55","3,920.05","3,927.30","3,931.35","3,927.30","2439000","9,614,711,347.50","9,614,711,347.50","8468850","-323250.00"
"18-Jan-2022","27-Jan-2022","XX","-","4,047.85","4,048.00","3,972.60","3,983.55","3,985.95","3,983.55","2963100","11,865,595,125.00","11,865,595,125.00","8792100","-798750.00"
"17-Jan-2022","27-Jan-2022","XX","-","3,983.00","4,038.00","3,957.30","4,017.30","4,020.00","4,017.30","4776900","19,137,715,110.00","19,137,715,110.00","9590850","-787800.00"
"14-Jan-2022","27-Jan-2022","XX","-","3,878.65","3,976.55","3,855.30","3,967.90","3,966.00","3,967.90","5273400","20,722,121,182.50","20,722,121,182.50","10378650","-766350.00"
"13-Jan-2022","27-Jan-2022","XX","-","3,915.00","3,927.00","3,854.00","3,895.00","3,896.90","3,895.00","6997650","27,214,566,352.50","27,214,566,352.50","11145000","-536850.00"
"12-Jan-2022","27-Jan-2022","XX","-","3,917.50","3,931.40","3,838.10","3,859.45","3,852.05","3,859.45","4148250","16,072,574,835.00","16,072,574,835.00","11681850","62700.00"
"11-Jan-2022","27-Jan-2022","XX","-","3,859.50","3,929.00","3,859.50","3,914.70","3,917.45","3,914.70","2885250","11,260,182,420.00","11,260,182,420.00","11619150","-266550.00"
"10-Jan-2022","27-Jan-2022","XX","-","3,960.00","3,967.95","3,854.20","3,877.30","3,878.25","3,877.30","6003150","23,373,864,915.00","23,373,864,915.00","11885700","96300.00"
